"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5453","GDP-mannose 4,6-dehydratase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_71990","GDP-mannose 4,6-dehydratase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5454","oxidoreductase Rmd","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72000","oxidoreductase Rmd",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5458","putative acetyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72040","acyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5459","putative methyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72050","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5461","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72070","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5464","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72110","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5465","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72130","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5468","probable citrate transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72170","citrate transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5470","probable peptide chain release factor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72200","peptide chain release factor-like protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5471","ArmZ","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72210","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5473","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72230","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5474","probable metalloprotease","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72250","metalloprotease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5476","citrate transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72280","citrate transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5477","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72300","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5478","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72320","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5479","proton-glutamate symporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72340","glutamate/aspartate:proton symporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5483","two-component response regulator AlgB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72380","two-component response regulator AlgB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5487","DgcH","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72420","diguanylate cyclase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5488","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72430","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5490","cytochrome c4 precursor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72460","cytochrome c4",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5491","probable cytochrome","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72470","cytochrome",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5492","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72480","ribosome biogenesis GTP-binding protein YsxC",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5493","DNA polymerase I","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72490","DNA polymerase I",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5494","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72500","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5497","class II (cobalamin-dependent) ribonucleotide-diphosphate reductase subunit, NrdJa","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72540","ribonucleotide reductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5498","ZnuA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72550","adhesin",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5499","zinc uptake regulator, Zur","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72560","transcriptional regulator np20",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5500","zinc transport protein ZnuC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72580","zinc transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5502","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72600","lipoprotein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5508","Glutamylpolyamine synthetase homologue","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72690","glutamine synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5511","MifR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72720","two-component response regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5512","MifS","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72740","two-component sensor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5513","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72750","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5514","probable beta-lactamase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72760","beta-lactamase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5515","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72770","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5516","pyridoxamine kinase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72780","pyridoxamine kinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5518","probable potassium efflux transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72800","potassium efflux transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5519","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72810","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5522","Glutamylpolyamine synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72850","glutamine synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5523","probable aminotransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72870","aminotransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5528","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72930","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5531","TonB1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72970","TonB protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5532","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_72980","G3E family GTPase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5534","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73000","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5537","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73030","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5539","RidA subfamily protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73050","GTP cyclohydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5546","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73140","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5549","glucosamine--fructose-6-phosphate aminotransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73170","glucosamine--fructose-6-phosphate aminotransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5550","GlmR transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73190","GlmR transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5551","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73200","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5552","glucosamine-1-phosphate acetyltransferase/N-acetylglucosamine-1-phosphate uridyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73220","glucosamine-1-phosphate acetyltransferase/N-acetylglucosamine-1-phosphate uridyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5553","ATP synthase epsilon chain","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73230","F0F1 ATP synthase subunit epsilon",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5554","ATP synthase beta chain","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73240","F0F1 ATP synthase subunit beta",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5556","ATP synthase alpha chain","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73260","F0F1 ATP synthase subunit alpha",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5561","ATP synthase protein I","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73320","F0F1 ATP synthase subunit I",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5563","chromosome partitioning protein Soj","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73350","chromosome partitioning protein Soj",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5564","glucose inhibited division protein B","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73360","16S rRNA methyltransferase GidB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5566","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73390","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA5567","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_73400","tRNA modification GTPase TrmE",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1500","probable oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_45020","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1501","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_45010","hydroxypyruvate isomerase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1503","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44990","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1506","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44960","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1507","probable transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44950","transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1512","secreted protein Hcp","PA0263 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44890","secreted protein Hcp","PA14_69560 | secreted protein Hcp"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1512","secreted protein Hcp","PA0263 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03240","secreted protein Hcp","PA14_69560 | secreted protein Hcp"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1512","secreted protein Hcp","PA0263 | secreted protein Hcp","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_43070","Hcp2","PA14_69560 | secreted protein Hcp"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1517","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44830","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1519","probable transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44800","transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1523","xanthine dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44740","xanthine dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1525","alkane-1-monooxygenase 2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44700","alkane-1 monooxygenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1526","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44690","GntR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1528","cell division protein ZipA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44670","cell division protein ZipA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1531","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44640","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1537","probable short-chain dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44570","short-chain dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1541","probable drug efflux transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44520","drug efflux transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1542","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44510","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1543","adenine phosphoribosyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44500","adenine phosphoribosyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1545","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44480","PemB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1546","oxygen-independent coproporphyrinogen III oxidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44470","coproporphyrinogen III oxidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1547","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44460","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1550","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44430","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1551","probable ferredoxin","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44420","ferredoxin",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1552.1","Cytochrome c oxidase, cbb3-type, CcoQ subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44390","cytochrome c oxidase subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1553","Cytochrome c oxidase, cbb3-type, CcoO subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44380","cbb3-type cytochrome c oxidase subunit II",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1556","Cytochrome c oxidase, cbb3-type, CcoO subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44350","cbb3-type cytochrome c oxidase subunit II",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1557","Cytochrome c oxidase, cbb3-type, CcoN subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44340","cbb3-type cytochrome c oxidase subunit I",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1559","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44311","CprA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1561","aerotaxis receptor Aer","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44300","aerotaxis receptor Aer",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1565","FAD-dependent oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44260","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1566","Glutamylpolyamine synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44240","glutamine synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1567","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44210","glycine/D-amino acid oxidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1568","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44200","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1570","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44180","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1571","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44170","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1572","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44160","ATP-NAD kinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1574","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44140","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1576","probable 3-hydroxyisobutyrate dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44120","3-hydroxyisobutyrate dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1577","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44110","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1578","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44100","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1579","putative lipid binding protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44080","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1583","succinate dehydrogenase (A subunit)","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_44030","succinate dehydrogenase flavoprotein subunit",""
